Город;Описание;Картинка;Голосов;Ссылка
САНКТ-ПЕТЕРБУРГ;САНКТ-ПЕТЕРБУРГ, ПЛАНЕРНАЯ УЛ. 69 К. 2 , 197373 , 246 ШКОЛА ЗДРАВСТВУЙТЕ! У НАС ХОРОШАЯ ШКОЛА И ТУАЛЕТ ТОЖЕ)) НО ЕСЛИ ЕСТЬ ВОЗМОЖНОСТЬ УЛУЧШИТЬ, КОНЕЧНО Я ПОДАЮ ЗАЯВКУ. СПАСИБО ЗА ТАКУЮ ВОЗМОЖНОСТЬ.;https://www.promonado.ru/domestos-schools/thumb/B442C495-3675-40FB-B303-3B2A329EBD5D.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=119
РОСТОВ НА ДОНУ;ПЕТРОЗАВОДСКАЯ 137А ХОЧУ ЧТОБЫ НАШ ТУАЛЕТ СТАЛ ЛУЧШЕ;https://www.promonado.ru/domestos-schools/thumb/2F025CAA-6EA7-45BA-A146-9B68B1FEEEDF.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=120
МИЧУРИНСК;УЛ 7 НОЯБРЯ ШКОЛА 19 ДОМЕСТОС-НА БОРЬБЕ С МИКРОБАМИ;https://www.promonado.ru/domestos-schools/thumb/4CC6FEF6-C174-4BC8-B1BE-923451613F56.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=123
СЕСТРОРЕЦК;ПРИМОРСКОЕ ШОССЕ, ДОМ 280, САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ "СЕСТРОРЕЦКИЙ ТЕХНОЛОГИЧЕСКИЙ КОЛЛЕДЖ ИМЕНИ СЕРГЕЯ ИВАНОВИЧА МОСИНА" ТУАЛЕТНАЯ КОМНАТА НУЖДАЕТСЯ В РЕМОНТЕ, ОЧЕНЬ НАДЕЕМСЯ НА ПОБЕДУ, ДЛЯ ТОГО ЧТОБЫ КАЖДЫЙ УГОЛОК ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ БЫЛ ЧИСТЫМ И КРАСИВЫМ)));https://www.promonado.ru/domestos-schools/thumb/B4D70E9A-5850-4FE4-9C4A-DC2305B04C0A.jpg;15;https://www.promonado.ru/domestos-schools/?voteid=124
УЛАН-УДЭ;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ "СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 37" Г.УЛАН-УДЭ В ТУАЛЕТАХ НАШЕЙ ШКОЛЫ НЕОБХОДИМО ПРОВЕСТИ КАПИТАЛЬНЫЙ РЕМОНТ. В ПРОШЛОМ ГОДУ МЫ ВЫИГРАЛИ ГОДОВОЙ ЗАПАС "DOMESTOS" , КОТОРЫЙ НАМ ОЧЕНЬ ПОМОГ В БОРЬБЕ СО РЖАВЧИНОЙ И МИКРОБАМИ! СПАСИБО ОГРОМНОЕ ОРГАНИЗАТОРАМ! НЫНЧЕ НАДЕЕМСЯ ВЫИГРАТЬ РЕМОНТ!;https://www.promonado.ru/domestos-schools/thumb/2B0BF792-B963-48F5-A0C8-216E727E9603.jpg;10;https://www.promonado.ru/domestos-schools/?voteid=125
ГУСЬ-ХРУСТАЛЬНЫЙ;601502, ВЛАДИМИРСКАЯ ОБЛАСТЬ, Г. ГУСЬ-ХРУСТАЛЬНЫЙ, УЛ. МЕНДЕЛЕЕВА, Д. 20 МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ «СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 1» В ПЕРВОЙ ШКОЛЕ ЕСТЬ ПРЕКРАСНЫЕ ПЕДАГОГИ, УМНЫЕ ДЕТИ, ЗОНА КОВОРКИНГА ДЛЯ РАБОТЫ ГОРОДСКОГО МЕДИАЦЕНТРА, ШКОЛА ЯВЛЯЕТСЯ ПУНКТОМ ПРОВЕДЕНИЯ ЕГЭ. А ВОТ НОРМАЛЬНЫХ ТУАЛЕТОВ В ШКОЛЕ НЕТ. МЫ БЫ ХОТЕЛИ, ЧТОБЫ НАШИ ДЕТИ НЕ НАЖИВАЛИ СЕБЕ КОМПЛЕКСОВ, СВЯЗАННЫХ С ПОСЕЩЕНИЕМ ЭТИХ МЕСТ, ЧТОБЫ НЕ БЫЛО ПРОБЛЕМ С ГИГИЕНОЙ И ОПРАВЛЕНИЕМ ЕСТЕСТВЕННЫХ НУЖД.;https://www.promonado.ru/domestos-schools/thumb/F45BD868-6298-40FB-9886-91EC5A61DAA9.jpg;160;https://www.promonado.ru/domestos-schools/?voteid=127
НАБЕРЕЖНЫЕ ЧЕЛНЫ;423803, НАБЕРЕЖНЫЕ ЧЕЛНЫ, Б-Р БУМАЖНИКОВ, Д.3 МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ «СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №44 С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ ОТДЕЛЬНЫХ ПРЕДМЕТОВ» САНУЗЕЛ НАХОДИТСЯ У ВХОДА В ШКОЛЬНУЮ СТОЛОВУЮ. РЕМОНТ НЕ ДЕЛАЛИ УЖЕ ДАВНО, ХОТЕЛОСЬ БЫ КОМФОРТА ДЛЯ НАШИХ ДЕТЕЙ.;https://www.promonado.ru/domestos-schools/thumb/A28CBEA1-949B-45B0-A40B-F8641B2527C3.jpg;12;https://www.promonado.ru/domestos-schools/?voteid=128
КИРОВО-ЧЕПЕЦК;ХУДОЖЕСТВЕННАЯ ШКОЛА ИМЕНИ БРЫЛИНА ШКОЛА ОСНОВАНА ДАВНО, РЕМОНТ НЕ ДЕЛАЛСЯ, ОСОБЕННО ПЛОХО В ТУАЛЕТАХ, ДАЖЕ ДВЕРИ НЕ ЗАКРЫВАЮТСЯ;https://www.promonado.ru/domestos-schools/thumb/836E90AA-8B92-4C8D-A22C-21550AFB59FC.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=129
НИЖНИЙ НОВГОРОД;МАОУ "ШКОЛА № 79 ИМ.Н.А.ЗАЙЦЕВА" ЗАЙЦЕВА 18А ТУАЛЕТУ МАЛЬЧИКОВ НА 3 ЭТАЖЕ ОЧЕНЬ НУЖЕН РЕМОНТ.;https://www.promonado.ru/domestos-schools/thumb/DFABBD5E-BB12-4195-9CD5-D83BB17AFD12.jpg;279;https://www.promonado.ru/domestos-schools/?voteid=130
ЯРОСЛАВЛЬ;СРЕДНЯЯ ШКОЛА №11 УРИЦКОГО Д 67 ОФ 273 ВОТ ТАКИЕ У НАС ТУАЛЕТЫ;https://www.promonado.ru/domestos-schools/thumb/01A75D28-808F-4797-925B-B18D0D2DA952.jpg;19;https://www.promonado.ru/domestos-schools/?voteid=131
